epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2387,1.82562,2.95488,1.70458,0.00461,1,0.47684,0.17561,1.32626,2.95324,1.40274,4e-05,4e-05,4e-05
2,28.4158,1.62298,2.80663,1.57192,0.00458,1,0.61541,0.25711,1.31548,2.94762,1.35963,8.02e-05,8.02e-05,8.02e-05
3,38.7644,1.75041,2.58705,1.63619,0.00457,1,0.70141,0.30856,1.22762,2.91064,1.29305,9.664e-05,9.664e-05,9.664e-05
4,50.0385,1.6342,2.44624,1.56215,0.00454,1,0.74991,0.34769,1.20487,2.80939,1.23336,8.932e-05,8.932e-05,8.932e-05
5,60.6867,1.58147,2.27204,1.52601,0.00451,1,0.76694,0.40093,1.22803,2.74559,1.22655,5.824e-05,5.824e-05,5.824e-05
